state,white,black_or_african_american,american_indian_and_alaska_native,asian,native_hawaiian_and_other_pacific-islander,hispanic_or_latino_any_race,state_id,congressional_district,year
 New Hampshire,94.3,1,0.2,2.3,0,3.2,33,2,2012
 New Jersey,64.4,11.4,0.3,12,0,34.8,34,9,2012
 New Jersey,29.4,54.1,0.3,7.2,0,17.2,34,10,2012
 New Jersey,58.5,18,0.2,15.2,0,15.4,34,12,2012
 New Jersey,68.1,17.7,0.2,5,0,12.3,34,1,2012
 New Jersey,74,12.9,0.3,3.7,0,15.3,34,2,2012
 New Jersey,86.2,6.2,0.2,3.6,0,10.7,34,4,2012
 New Jersey,66.4,9.9,0.2,18.3,0,20.2,34,6,2012
 New Jersey,80.5,4,0,9,0.2,11.9,34,7,2012
 Oklahoma,67.5,3.6,16.2,0.5,0.1,4.5,40,2,2012
 Oklahoma,80,3.5,5.8,1.3,0.2,8.7,40,3,2012
 Oklahoma,69.2,13.2,4.2,3,0.1,15.1,40,5,2012
 Oregon,80.3,1.5,0.9,6.9,0.4,14.1,41,1,2012
 Oregon,80.3,5.3,0.8,6.2,0.7,10.7,41,3,2012
 Oregon,89.9,0.7,1.4,2.3,0.3,7.2,41,4,2012
 Pennsylvania,93.8,2.3,0.1,1.8,0,1.3,42,18,2012
 Pennsylvania,48.3,35.3,0.3,7,0,15.7,42,1,2012
 Pennsylvania,91.9,4.7,0.2,0.8,0,1.9,42,3,2012
 Pennsylvania,85.7,7.8,0.2,1.7,0,6.7,42,4,2012
 Pennsylvania,88.2,4.1,0,4.1,0,5.5,42,6,2012
 Pennsylvania,88.2,5.7,0.1,4.1,0,2.8,42,7,2012
 Pennsylvania,94.4,3.2,0.1,0.5,0,1.9,42,9,2012
 Pennsylvania,89.6,5.2,0.2,1.8,0,4.7,42,11,2012
 Pennsylvania,93.3,3.2,0.1,1.4,0,1.4,42,12,2012
 Pennsylvania,72.5,21.3,0.1,2.9,0,1.9,42,14,2012
 Rhode Island,84.6,4.2,0.6,3.6,0,11,44,2,2012
 South Carolina,70.7,22.9,0.3,1.7,0,5.2,45,2,2012
 South Carolina,77.4,18.7,0.2,0.8,0,4.6,45,3,2012
 South Carolina,68.5,26.6,0.3,0.8,0,3.9,45,5,2012
 South Carolina,65.9,30,0.5,0.8,0,4.1,45,7,2012
 South Dakota,85.4,1.6,8.8,1.1,0.1,3,46,0,2012
 Wisconsin,52.5,34.4,0.7,3.4,0,16,55,4,2012
 Wisconsin,92.6,1.7,0.3,2.3,0,5.5,55,5,2012
 Wisconsin,93.3,1.5,0.5,2.1,0,4.1,55,6,2012
 Wisconsin,94,0.7,2,1.6,0,1.9,55,7,2012
 Wisconsin,88.7,5.1,0.4,1.5,0.1,9.3,55,1,2012
 Wisconsin,94.3,1.2,0.5,2,0,2.1,55,3,2012
 Tennessee,94.6,2.2,0.3,0.7,0,3.4,47,1,2012
 Tennessee,89.3,6.6,0.2,1.3,0,3.6,47,2,2012
 Tennessee,85.2,11.1,0.2,1.3,0,3.4,47,3,2012
 Tennessee,86.8,8.1,0.6,1.2,0.1,5.5,47,4,2012
 Tennessee,64.9,25.4,0.2,3,0,9.1,47,5,2012
 Tennessee,91.9,4.6,0.2,0.7,0,3.7,47,6,2012
 Tennessee,84.4,10,0.3,1.6,0.1,4.5,47,7,2012
 Tennessee,28.3,65.3,0.3,1.6,0,6.8,47,9,2012
 Texas,72.8,10.7,0.5,7,0,31.7,48,2,2012
 Texas,82.3,10.5,0.6,1.2,0,12.5,48,4,2012
 Texas,70.5,19.1,0.4,4.5,0,20.3,48,6,2012
 Texas,69.3,11.9,0.3,9.8,0,30.9,48,7,2012
 Texas,83.5,8.7,0.4,2.3,0.1,21,48,8,2012
 Texas,76.8,18.1,0.4,1,0.1,16.2,48,1,2012
 Texas,38.8,37,0.2,10.7,0.1,40.2,48,9,2012
 Texas,78.8,9.9,0.5,4.1,0.1,26.1,48,10,2012
 Texas,88.7,3.9,0.6,0.8,0,35.1,48,11,2012
 Texas,80.9,9.1,0.7,3.5,0.2,22.2,48,12,2012
 Texas,86.6,5,0.7,1.7,0.1,25.4,48,13,2012
 Texas,71.6,20.4,0.3,3,0,22.1,48,14,2012
 Texas,90,1.9,0.8,1.2,0,80.6,48,15,2012
 Texas,82.9,3.9,0.5,1.2,0.2,79,48,16,2012
 Texas,75.6,12.9,0.5,4.3,0.1,24.9,48,17,2012
 Texas,45.4,39.9,0.5,3.3,0.1,39.1,48,18,2012
 Texas,82,6.2,0.5,1.3,0.1,34.8,48,19,2012
 Texas,87,2.9,0.6,3.3,0.2,27.2,48,21,2012
 Texas,63.1,12.4,0.3,16.9,0,25.3,48,22,2012
 Texas,68.2,11.2,0.5,11.5,0.2,22.9,48,24,2012
 Texas,83.6,8,0.4,2.6,0.3,19.3,48,25,2012
 Texas,81.2,6.9,0.4,5.4,0,17.3,48,26,2012
 Texas,86.2,4.6,0.3,1,0,76,48,28,2012
 Texas,70.3,10.4,0.6,1.7,0,76.2,48,29,2012
 Texas,78,11.2,0.4,4.2,0.2,23.3,48,31,2012
 Texas,68,15,0.4,1.9,0,65.7,48,33,2012
 Texas,89,1.6,0.2,0.6,0,83.5,48,34,2012
 Texas,80.2,9.9,0.6,2.8,0.2,22,48,36,2012
 Utah,89.2,0.9,1.1,1.8,0.2,12.1,49,1,2012
 Utah,86.2,1.6,1,2.5,1.3,14.1,49,2,2012
 Utah,85.7,1.5,0.8,2.6,1.5,16.7,49,4,2012
 Georgia,64.1,30.5,0.1,1.5,0.1,6.3,13,8,2012
 Georgia,69.6,24.7,0.2,2.1,0,5.8,13,10,2012
 Georgia,35.3,56.1,0,2.7,0,11.1,13,13,2012
 Idaho,90,0.6,1.3,1.5,0.1,12.9,16,2,2012
 Hawaii,31.2,1.7,0.2,25.8,13.5,10.9,15,2,2012
 Illinois,40.6,52.2,0.2,1.5,0,8.9,17,1,2012
 Illinois,77.3,4.5,0.4,4.4,0,29.2,17,3,2012
 Illinois,85.5,2.9,0.1,7.8,0.1,8.9,17,6,2012
 Illinois,69.6,5.1,0.2,11.4,0.1,28.1,17,8,2012
 Illinois,66.4,10.7,0.4,7,0,26.8,17,11,2012
 Illinois,82.3,11,0.1,3.5,0,3.3,17,13,2012
 Illinois,90.3,3.9,0.1,1.3,0,8.5,17,16,2012
 Arizona,64.6,2.5,24.2,1.7,0.1,21.3,4,1,2012
 Arizona,87.5,1.7,1.7,1.2,0.2,17.5,4,4,2012
 Arizona,86,2.8,1.7,4.5,0.1,14.4,4,6,2012
 Arizona,76.9,5.1,3,4.8,0.2,27.4,4,9,2012
 Arkansas,74.6,20,0.6,0.6,0,5.5,5,4,2012
 California,60.2,1.7,0.5,11.3,0.4,66.4,6,46,2012
 California,76.8,2.4,0.8,6.4,0.3,27.2,6,49,2012
 California,65.1,6.9,0.7,9.1,0.3,68.6,6,51,2012
 Arkansas,78.7,18,0.4,0.4,0,2.9,5,1,2012
 Arkansas,73.9,22.3,0.3,1.6,0,5,5,2,2012
 Arkansas,85.7,2.8,1.1,2.7,0.7,13.2,5,3,2012
 California,41.7,15.2,0.7,4.9,0.7,70.9,6,44,2012
 California,64.3,1.7,0.2,22.6,0.4,18.6,6,45,2012
 California,56.1,7.3,0.6,21,0.5,34.6,6,47,2012
 California,68.8,1,0.2,17.4,0.3,21.2,6,48,2012
 California,80.6,2.7,1,5.1,0.2,28.4,6,50,2012
 California,69.4,3.1,0.9,20,0.3,13.7,6,52,2012
 California,65.7,8.4,0.8,12.6,1.1,33.4,6,53,2012
 Indiana,93.3,2.2,0.2,1,0.1,2.1,18,6,2012
 Indiana,70,19.5,0.3,1.4,0,14.4,18,1,2012
 Indiana,91.5,3.6,0.1,2.3,0.1,5.5,18,4,2012
 Indiana,92.1,2.5,0.2,2,0,3.2,18,9,2012
 Iowa,89.6,3.7,0.2,2.5,0.1,6.3,19,3,2012
 Kentucky,89.8,6.7,0.2,0.6,0.1,2.5,21,1,2012
 Kentucky,72.8,21.2,0.1,2.4,0,4.6,21,3,2012
 Louisiana,70.9,24.4,0.4,1.4,0,3.2,22,3,2012
 Louisiana,62.2,35.6,0.4,0.6,0.1,2,22,5,2012
 Maine,95.5,0.8,0.8,0.7,0,1.2,23,2,2012
 Maryland,82.9,11.7,0.2,1.8,0,3.4,24,1,2012
 Maryland,65.3,21.7,0.3,7.2,0.1,6.9,24,3,2012
 New Mexico,66.3,1.8,17.9,1.2,0,39.5,35,3,2012
 Massachusetts,77.5,4,0.2,6.9,0,16.7,25,3,2012
 Massachusetts,79.6,5,0.1,9.9,0,7.8,25,5,2012
 Massachusetts,78.9,9.5,0.2,7,0,4.9,25,8,2012
 New York,32.6,53.3,0.3,6,0.1,10.8,36,9,2012
 New York,76.3,4.7,0.2,12.1,0.2,12.1,36,12,2012
 New York,46.3,10.4,0.6,16.4,0,48.1,36,14,2012
 New York,70.4,10.9,0.4,5.5,0,20.7,36,17,2012
 New York,89.4,4.8,0.3,1.4,0,6.7,36,19,2012
 New York,90.5,3.6,0.3,2.4,0.1,3.3,36,22,2012
 New York,85.4,8.3,0.6,2.2,0,3.9,36,24,2012
 New York,93.6,2.6,0.7,0.9,0.2,2.5,36,27,2012
 North Carolina,74.9,16.8,0.3,2.1,0.1,8.4,37,13,2012
 North Carolina,72.9,16.2,1,3.3,0.1,11.7,37,2,2012
 North Carolina,54.9,32.8,0.5,5.4,0.2,10.6,37,4,2012
 North Carolina,74.1,17.4,1.8,0.7,0.1,9.3,37,7,2012
 North Carolina,78.8,12.8,0.4,3.5,0,8,37,9,2012
 North Dakota,89.5,1.5,5.3,1,0.2,2.4,38,0,2012
 Ohio,72.4,21.6,0.2,2.9,0,3,39,1,2012
 Ohio,87.7,8.7,0.1,1.1,0,1.5,39,2,2012
 Ohio,95.5,2.3,0.2,0.3,0,0.8,39,6,2012
 Michigan,37.8,56.3,0.4,1,0,7.1,26,13,2012
 Michigan,91.8,4.2,0.4,0.7,0.1,4,26,7,2012
 Michigan,92.7,3.1,0.2,1.4,0,2.9,26,10,2012
 Ohio,91.2,3.7,0.1,2.2,0.1,1.6,39,15,2012
 Ohio,89.1,5.9,0.2,1.5,0,3,39,8,2012
 Ohio,77.4,17.1,0.1,2.1,0,2.4,39,10,2012
 Ohio,84.3,11.3,0.2,1.2,0,3,39,13,2012
 Missouri,44,49.1,0.2,2.7,0,3.1,29,1,2012
 Missouri,93.1,3.4,0.2,1.1,0,2.1,29,3,2012
 Missouri,90.8,4.1,0.5,1.3,0.1,3.7,29,6,2012
 Missouri,92.3,4.8,0.4,0.5,0.1,1.6,29,8,2012
 Nevada,61.1,9.8,0.8,7.6,0.6,44.5,32,1,2012
 Nevada,64.5,14,1,5.7,0.7,27.3,32,4,2012
 New Jersey,56.2,10.9,0.5,8.1,0.1,54.7,34,8,2012
 New Jersey,83.3,4.1,0.1,9.3,0,9.1,34,11,2012
 California,87.3,1.4,2.1,2.6,0.1,12.9,6,1,2012
 California,65.9,5.1,1,11.5,0.6,28.4,6,3,2012
 California,68.2,6.4,0.9,10.2,0.4,27.5,6,5,2012
 California,53.5,13.2,0.8,15.5,1.3,27.2,6,6,2012
 California,72.1,10.2,1.7,2.6,0.6,35.7,6,8,2012
 California,73.8,3.2,0.6,6.3,0.6,41.2,6,10,2012
 California,64.6,9.4,0.4,12.9,0.6,25.5,6,11,2012
 California,46.1,17.9,0.8,20.3,0.7,22.1,6,13,2012
 California,49.9,6.9,0.6,28.6,1.2,23,6,15,2012
 California,53.8,6.4,1.4,9.7,0.3,59.1,6,16,2012
 California,68.2,1.9,0.4,20,0.4,17.5,6,18,2012
 California,50.3,2.9,0.6,26.6,0.6,40.8,6,19,2012
 California,66.1,4.4,1.2,3.2,0.1,72.7,6,21,2012
 California,74.7,5.6,1.2,5.3,0.2,37.2,6,23,2012
 California,78,2,1,4.7,0.2,35.1,6,24,2012
 California,77.9,2.1,0.5,6.6,0.2,44.4,6,26,2012
 California,68.1,2.9,0.3,12.5,0,28.1,6,28,2012
 California,62.3,4.3,0.6,8.6,0.1,67.7,6,29,2012
 California,60.4,9.9,0.8,8.2,0.2,52.1,6,31,2012
 California,76.4,2.8,0.2,13,0.2,11.7,6,33,2012
 California,34,4.2,0.4,19.3,0.1,65.7,6,34,2012
 California,64.7,4.5,1.2,3.5,0.2,46.5,6,36,2012
 California,39.2,26,0.4,10.3,0.1,35.2,6,37,2012
 California,54.3,1.8,0.4,30.6,0.1,32.6,6,39,2012
 California,59.5,9.3,1,4.9,0.3,58.3,6,41,2012
 Minnesota,86.5,3.9,0.4,4.4,0,5.6,27,2,2012
 Minnesota,69.8,16.1,1,6,0,9.2,27,5,2012
 Minnesota,93.6,0.9,2.7,0.6,0,1.4,27,8,2012
 California,71.4,5.2,0.8,8.3,0.5,37.7,6,42,2012
 California,36.6,23.9,0.4,12.7,0.4,46.9,6,43,2012
 New Jersey,81.4,10.4,0.4,3.5,0,6.7,34,3,2012
 New Jersey,78.8,4.9,0.2,9.7,0,12.7,34,5,2012
 Oklahoma,73.3,8.6,5.5,2.3,0.1,10.3,40,1,2012
 Oklahoma,77.7,6.8,5,2.2,0.1,8,40,4,2012
 Oregon,90.2,0.5,1.7,0.9,0.2,12.8,41,2,2012
 Oregon,85.6,0.7,1.2,2.7,0.6,15.9,41,5,2012
 Pennsylvania,88.3,6.2,0.2,1.6,0,7.7,42,17,2012
 Pennsylvania,30.6,58.9,0.3,4.7,0.2,5.9,42,2,2012
 Pennsylvania,93.8,2.3,0.2,1.5,0,1.8,42,5,2012
 Pennsylvania,89.1,3.9,0,4.5,0,4.3,42,8,2012
 Pennsylvania,93.8,2.9,0.1,0.9,0,3.8,42,10,2012
 Pennsylvania,65.5,18.4,0.4,8,0.5,11.3,42,13,2012
 Pennsylvania,85.2,4.9,0.1,2.6,0,14,42,15,2012
 Rhode Island,78.8,8.7,0.3,2.8,0,15.3,44,1,2012
 South Carolina,73.3,19.9,0.4,1.7,0,6.7,45,1,2012
 South Carolina,74.4,19.3,0.2,2.2,0.1,7.6,45,4,2012
 South Carolina,38.6,56.8,0.2,0.8,0.1,4.7,45,6,2012
 Colorado,90.4,0.7,0.3,2.9,0.1,9.8,8,2,2012
 Colorado,87.5,1.1,2.1,0.6,0.1,24.4,8,3,2012
 Colorado,83,6,0.7,2.4,0.2,14.9,8,5,2012
 Colorado,87.4,1.2,1,3.3,0,27.6,8,7,2012
 Delaware,69.7,21.5,0.3,3.3,0,8.6,10,0,2012
 Connecticut,72.7,15.1,0.4,4.8,0.2,15.1,9,1,2012
 Connecticut,75.2,13.3,0.4,4.1,0,13.3,9,3,2012
 Connecticut,81.1,6.7,0.2,3.1,0,16.6,9,5,2012
 Wisconsin,91.3,1.2,2.4,2.2,0,4.6,55,8,2012
 Wisconsin,87.3,4.4,0.4,3.8,0,6,55,2,2012
 Wyoming,90.9,1,2.1,1,0,9.4,56,0,2012
 Puerto Rico,69.2,8.3,0.4,0.4,0,99,72,98,2012
 Tennessee,76.9,18.8,0.2,2,0,2.9,47,8,2012
 Texas,72.5,9.2,0.4,12.7,0,14.9,48,3,2012
 Texas,75.5,14.7,0.4,2,0,27.1,48,5,2012
 Texas,76.1,4.7,0.8,2.8,0.2,69.9,48,20,2012
 Texas,84.1,3.2,0.8,1.1,0,68.9,48,23,2012
 Florida,77.3,13.1,0.4,2.7,0.1,5.8,12,1,2012
 Florida,78.9,13.4,0.3,3,0,8.5,12,3,2012
 Florida,77.6,13.1,0.3,4.2,0.1,8.3,12,4,2012
 Florida,83.4,10.6,0.2,1.8,0,6.8,12,6,2012
 Florida,83.7,9.9,0.2,2,0.4,9.6,12,8,2012
 Florida,75.4,11.8,0.3,5,0,46.4,12,9,2012
 Florida,87.1,8.7,0.5,1.3,0,8.8,12,11,2012
 Florida,87.1,5.8,0.4,3.5,0,9.3,12,13,2012
 Florida,63.9,25.9,0.4,2.9,0,29.6,12,14,2012
 Florida,88.4,6.7,0.4,1.7,0,11.6,12,16,2012
 Florida,81,12.1,0.2,2.1,0.1,14.9,12,18,2012
 Florida,86.1,7.7,0.3,1.7,0,17.4,12,19,2012
 Texas,83.9,5.8,0.6,1.2,0.1,50.5,48,27,2012
 Texas,42.6,45.1,0.3,1.7,0.2,36.1,48,30,2012
 Texas,64.7,12.1,0.3,7.4,0.1,28.6,48,32,2012
 Texas,71.7,9.7,0.8,1.8,0,62.3,48,35,2012
 Vermont,95.1,1,0.3,1.3,0,1.6,50,0,2012
 Utah,91.2,0.5,1.4,1.8,0.7,10.2,49,3,2012
 Virginia,73.8,17.3,0.4,3.3,0.1,9,51,1,2012
 Washington,87.1,1.6,0.8,3.2,0.6,8.4,53,3,2012
 Washington,81.6,3.5,2.3,4,0.5,7,53,6,2012
 Florida,39,53.4,0.2,2.4,0,19.5,12,20,2012
 Florida,79.5,12.2,0.1,3.4,0,20.9,12,21,2012
 Florida,81.4,11.3,0.1,2,0.2,21.7,12,22,2012
 Florida,75.8,11.2,0.3,3.8,0.1,38.1,12,23,2012
 Florida,38.8,55.2,0.1,1.6,0,31.5,12,24,2012
 Florida,87.4,7.5,0.1,1.7,0,71.8,12,25,2012
 Florida,85.1,9.9,0.3,1.8,0,68.5,12,26,2012
 Florida,87.4,8,0,1.5,0,72,12,27,2012
 Georgia,43.2,51.5,0.2,1.1,0,4.4,13,2,2012
 Georgia,31.3,59,0.2,4.7,0,8.3,13,4,2012
 Georgia,71.5,12.5,0.2,9.6,0,12.3,13,6,2012
 Georgia,57.4,18.8,0.4,12.3,0,19.7,13,7,2012
 Georgia,86.5,6.9,0.3,1.1,0,12,13,9,2012
 Georgia,75.4,15.6,0.1,2.8,0,11.6,13,11,2012
 Georgia,59.9,34.7,0.2,1.5,0,5.6,13,12,2012
 Washington,80.7,2.2,0.9,7.1,0.5,10.8,53,8,2012
 West Virginia,94.9,2.4,0.2,0.8,0.1,1,54,1,2012
 West Virginia,93.8,3.9,0.1,0.5,0,0.8,54,3,2012
 Idaho,92.8,0.5,1.3,1.1,0.1,10.4,16,1,2012
 Hawaii,18.6,2,0.2,50.7,7.4,8,15,1,2012
 Illinois,37.9,55.3,0.2,0.6,0,13.3,17,2,2012
 Illinois,61.6,4.6,0.4,3.1,0.1,70.6,17,4,2012
 Illinois,80.8,2.7,0.3,6.2,0.1,20.6,17,5,2012
 Illinois,32.7,51.2,0.2,6.9,0,14.7,17,7,2012
 Illinois,72.9,8.9,0.1,13.6,0,10.6,17,9,2012
 Illinois,78.2,6.6,0.2,9,0,22.8,17,10,2012
 Georgia,85.9,8.7,0.2,0.7,0,10.6,13,14,2012
 Illinois,79.3,16.5,0.2,1.2,0,2.9,17,12,2012
 Illinois,87.8,3.4,0.1,4.4,0.1,10.8,17,14,2012
 Illinois,92.6,4.5,0.2,0.5,0,2.4,17,15,2012
 Illinois,82.6,11,0.2,1.1,0,8.5,17,17,2012
 Illinois,91,3.9,0.1,2.4,0,2.6,17,18,2012
 Indiana,87,6.9,0.3,1.1,0,8.5,18,2,2012
 Indiana,88,6.2,0.3,1.6,0.2,5.7,18,3,2012
 Indiana,85.1,8.5,0.2,2.6,0,3.9,18,5,2012
 Indiana,59.8,28.5,0.5,1.8,0,10.8,18,7,2012
 Indiana,92.5,4,0.2,0.9,0,2.2,18,8,2012
 Iowa,91.4,3.7,0.1,2.1,0,5.1,19,2,2012
 California,80.5,1.8,2.1,4.2,0.2,16.7,6,2,2012
 California,85.2,1.2,1.3,4.9,0,12.3,6,4,2012
 California,64.6,7.3,0.9,15,0.8,16.2,6,7,2012
 California,55.8,8.5,1,14.1,0.6,38.5,6,9,2012
 California,51.8,5.8,0.4,31.3,0.4,14.6,6,12,2012
 Iowa,93.4,1.3,0.4,1.5,0.2,6.1,19,4,2012
 Iowa,92.3,3.2,0.3,1.3,0,3.4,19,1,2012
 Kansas,88.7,3.3,0.4,1.5,0.1,14.7,20,1,2012
 Kansas,87.9,4.1,1.4,1.4,0.1,6,20,2,2012
 Kansas,81.9,8.8,0.5,3.9,0.1,11.6,20,3,2012
 Kansas,83.7,7,1.3,3.1,0,11.4,20,4,2012
 Kentucky,96.6,1.4,0.2,0.5,0.1,0.8,21,5,2012
 Kentucky,89.5,5.7,0.2,1.3,0.1,2.9,21,2,2012
 Kentucky,92.7,3.4,0.2,1,0,3,21,4,2012
 Kentucky,85.5,8.6,0.2,1.8,0,4.4,21,6,2012
 Louisiana,79.5,13.4,1.1,2.5,0,7.8,22,1,2012
 Louisiana,32.2,61.8,0.4,2.2,0.1,6.2,22,2,2012
 Louisiana,61.3,34.2,0.9,0.9,0,3.5,22,4,2012
 Louisiana,71.1,24,0.2,1.9,0,4.3,22,6,2012
 California,49.8,3.3,0.3,32.2,1.3,24.7,6,14,2012
 California,33.7,3,0.5,51.4,0.3,17.2,6,17,2012
 California,77,2.1,0.6,5.5,0.3,51.7,6,20,2012
 California,72.1,3.1,1,7.3,0.1,45.1,6,22,2012
 California,64.7,6.8,0.3,8.2,0.2,37.9,6,25,2012
 California,44.6,4.5,0.3,36.9,0.3,26.9,6,27,2012
 California,67.4,4.7,0.3,12.1,0.1,28.4,6,30,2012
 California,51.4,2.8,0.6,15.7,0.2,62.3,6,32,2012
 California,57.1,6.8,1.1,6.3,0.2,69.8,6,35,2012
 California,56,4.5,0.6,16,0.3,60.5,6,38,2012
 California,53.8,4.9,0.3,2.6,0,87.1,6,40,2012
 Colorado,77.6,9,0.9,3.3,0.1,28.3,8,1,2012
 Colorado,88.7,1.6,0.8,1.7,0,21.8,8,4,2012
 Colorado,76.2,9.5,0.7,5.6,0.2,20.1,8,6,2012
 District of Columbia,39.6,49.5,0.4,3.5,0,9.9,11,98,2012
 Connecticut,87.9,3.7,0.3,3.4,0,7.3,9,2,2012
 Connecticut,73.9,12.2,0.3,5.1,0,18.6,9,4,2012
 Maine,94.8,1.3,0.4,1.5,0,1.6,23,1,2012
 Maryland,57.3,32.2,0.3,5.3,0,5.8,24,2,2012
 Maryland,31.6,52.8,0.3,3.1,0,15.7,24,4,2012
 Maryland,53.2,36.9,0.3,3.9,0,6.8,24,5,2012
 Maryland,70.9,12.1,0.3,9.8,0.1,12.5,24,6,2012
 Maryland,35.2,55.1,0.3,6,0.1,3.8,24,7,2012
 Maryland,68.2,11.6,0.3,8.9,0.1,14.3,24,8,2012
 Massachusetts,83.3,6.2,0.3,1.9,0,15.8,25,1,2012
 Massachusetts,85.3,4.5,0.2,5,0.1,9,25,2,2012
 Massachusetts,87.7,2.8,0.1,6.2,0,3.8,25,4,2012
 Massachusetts,86.2,3,0.1,3.9,0,8,25,6,2012
 Massachusetts,51.8,26.4,0.4,9.3,0,20.6,25,7,2012
