state,white,black_or_african_american,american_indian_and_alaska_native,asian,native_hawaiian_and_other_pacific-islander,hispanic_or_latino_any_race,state_id,congressional_district,year
 Texas,60.4,13.3,0.6,19.1,0,25.2,48,22,2016
 Texas,62.6,11.8,0.6,13.9,0.1,24.8,48,24,2016
 Texas,78.4,7.2,0.5,5.9,0.1,18.4,48,26,2016
 Texas,88,4,0.2,1,0,78.5,48,28,2016
 Texas,77.2,10.6,0.6,2.3,0,77.1,48,29,2016
 Texas,75.5,11.2,0.4,5.2,0.3,23.9,48,31,2016
 Texas,66.8,15.7,0.2,2.5,0.1,66.9,48,33,2016
 Texas,92.4,1.3,0.2,0.9,0,83.9,48,34,2016
 Texas,83,9.2,0.6,2.3,0,26.6,48,36,2016
 Vermont,94.4,1.3,0.3,1.5,0,2,50,0,2016
 Utah,81.8,1.3,0.7,3.3,1.5,16.7,49,4,2016
 Utah,89.7,1,0.9,1.5,0.5,12.9,49,1,2016
 Utah,91.3,0.5,1.6,2,0.8,10.5,49,3,2016
 Virginia,72,15.9,0.4,3.6,0.1,9.4,51,1,2016
 Virginia,67.2,20,0.3,5.4,0.2,7.8,51,2,2016
 Virginia,52.2,41.1,0.4,1.9,0.1,5.1,51,4,2016
 Virginia,83.3,11.4,0.2,1.6,0.1,5.2,51,6,2016
 Virginia,71.6,17.2,0.2,5.2,0.1,7.3,51,7,2016
 Virginia,90.8,5.4,0.2,1.2,0,2.1,51,9,2016
 Mississippi,68.6,28.1,0.2,0.7,0,2.9,28,1,2016
 Mississippi,30.8,66.6,0.4,0.4,0.1,1.8,28,2,2016
 Mississippi,60.9,35.8,0.9,0.8,0,2.7,28,3,2016
 Mississippi,71.6,23.6,0.3,1.6,0,4.1,28,4,2016
 Missouri,43.3,49,0.3,3.1,0,3.6,29,1,2016
 Missouri,89.4,4.1,0.1,4.4,0,2.6,29,2,2016
 Missouri,88.9,4.7,0.8,1.7,0.2,3.6,29,4,2016
 Missouri,90.4,3.9,0.3,1.5,0.1,3.9,29,6,2016
 Missouri,91.7,1.9,1.2,1.2,0.2,5,29,7,2016
 Nebraska,81.9,9.6,0.3,3.5,0.1,11.1,31,2,2016
 Nebraska,92.9,1.1,0.9,0.6,0.1,12.1,31,3,2016
 Nevada,53,11.5,0.7,9.5,0.7,46.6,32,1,2016
 Nevada,80.9,1.7,2.5,4.3,0.3,22.3,32,2,2016
 Nevada,65.7,15.6,1.1,5,0.5,29.1,32,4,2016
 New Hampshire,93.4,1.3,0.1,2.6,0,3.5,33,1,2016
 New Jersey,67.8,17,0.1,5.2,0,13.6,34,1,2016
 New Jersey,75.4,12.2,0.4,4,0,16.4,34,2,2016
 New Jersey,84.7,6.8,0.1,3.8,0.1,10.1,34,4,2016
 New Jersey,79.5,5.4,0.3,11,0.1,14,34,5,2016
 New Jersey,63.7,10,0.2,19.3,0,22,34,6,2016
 New Jersey,78.8,5,0.1,9.5,0,13,34,7,2016
 New Jersey,57.4,10.3,0.4,9.4,0.1,52.1,34,8,2016
 New Jersey,62.2,10.1,0.2,12.5,0.1,37.6,34,9,2016
 New Jersey,29,51.5,0.3,7,0,21.1,34,10,2016
 New Jersey,82,3.2,0,10.8,0,11.2,34,11,2016
 New Jersey,59.4,17.1,0.4,17.5,0,18.1,34,12,2016
 New Mexico,85.3,1.9,5.1,0.7,0,54.9,35,2,2016
 New Mexico,65.3,1.3,18.1,1.3,0.1,41.1,35,3,2016
 New York,86.8,5.5,0.1,4,0,14.7,36,1,2016
 New York,75,2.8,0.2,15.6,0,10.8,36,3,2016
 New York,17.7,48.8,0.6,14.5,0.1,19.8,36,5,2016
 New York,43.8,4.1,0.3,39.8,0,19.3,36,6,2016
 New York,29.7,53.4,0.3,5.9,0.1,17,36,8,2016
 New York,70.2,3.6,0.3,19.3,0,12.4,36,10,2016
 New York,70.1,7.5,0.1,14.1,0.2,17.2,36,11,2016
 New York,28.6,29.7,0.4,4.6,0.1,54.4,36,13,2016
 New York,15.4,31.8,0.7,2.1,0,67,36,15,2016
 New York,46.5,34.1,0.4,6.1,0,23.8,36,16,2016
 New York,76.5,9.3,0.5,3.2,0.1,16.3,36,18,2016
 New York,79.3,9.1,0.2,5,0,6.3,36,20,2016
 New York,92,3,0.8,1.2,0,3.4,36,21,2016
 New York,90.5,3.1,0.6,2.4,0,3.9,36,23,2016
 New York,75.6,15.7,0.4,3.6,0,8.8,36,25,2016
 New York,71.7,17.8,0.5,4.5,0.1,6.2,36,26,2016
 North Carolina,46.9,44.9,1,2,0.1,8.8,37,1,2016
 North Carolina,71.3,20.1,0.6,1.4,0,9.5,37,2,2016
 North Carolina,72.7,19.7,0.4,1.3,0.1,7.9,37,3,2016
 North Carolina,61.9,21.9,0.4,8.9,0,10.2,37,4,2016
 North Carolina,79,14.7,0.3,1.6,0.1,9.5,37,5,2016
 North Carolina,71.4,20.1,0.4,1.5,0.1,9.9,37,6,2016
 North Carolina,75,19,0.9,0.7,0,9.4,37,7,2016
 North Carolina,65.7,23.4,1.2,2.2,0.2,9.9,37,8,2016
 North Carolina,81,11.7,0.5,1.8,0.1,6.7,37,10,2016
 North Carolina,47.7,37.5,0.3,5.7,0.1,15,37,12,2016
 North Carolina,70,21.7,0.2,3.6,0,8,37,13,2016
 North Dakota,87.2,2.5,5.5,1.2,0,3.5,38,0,2016
 Ohio,92.8,4,0.1,0.4,0,2.1,39,7,2016
 Ohio,88.7,6,0.2,1.6,0,3.3,39,8,2016
 Ohio,76.8,17,0.1,2.3,0.1,2.8,39,10,2016
 Ohio,87.1,4.9,0.1,4.4,0,2.8,39,12,2016
 Ohio,82.7,11.8,0.2,1.9,0,2.8,39,13,2016
 Ohio,90.4,4.4,0.1,2,0,2,39,15,2016
 Ohio,70.4,22,0.1,3.7,0,3,39,1,2016
 Ohio,87.1,8.5,0.1,1.4,0,2.1,39,2,2016
 Ohio,89.8,5.5,0.1,1,0,3.4,39,4,2016
 Ohio,95.1,2.5,0.2,0.4,0.1,1.1,39,6,2016
 Oklahoma,70.8,8.6,5.9,3,0.1,11,40,1,2016
 Oklahoma,79.1,3.5,5.8,1.3,0.3,9.8,40,3,2016
 Oklahoma,69.6,13.6,4.7,2.9,0.1,16.4,40,5,2016
 Oregon,89.9,0.8,2,1,0.3,13.6,41,2,2016
 Oregon,89.1,0.8,1.2,2.3,0.2,7.8,41,4,2016
 Oregon,79.5,1.5,0.6,7.7,0.4,14.5,41,1,2016
 Pennsylvania,46.5,35.5,0.4,6.9,0,18,42,1,2016
 Virginia,56.4,13.4,0.2,18.7,0.1,18.3,51,11,2016
 Washington,78.5,1.3,1.3,10.5,0.2,8.9,53,1,2016
 Washington,76.5,3.3,1.1,9.1,0.6,10.5,53,2,2016
 Washington,86.4,1.3,0.9,3.5,0.5,9.3,53,3,2016
 Washington,74,1.4,2.8,1.5,0.2,39,53,4,2016
 Washington,87.3,1.6,1.8,2.5,0.4,6.4,53,5,2016
 Washington,80.3,3.8,2.2,4.2,0.4,8,53,6,2016
 Washington,72.8,4.1,0.4,12.2,0.3,8.2,53,7,2016
 Washington,78.3,2.8,0.8,8.8,0.6,11,53,8,2016
 Washington,50.5,10.8,0.5,22.2,1.6,12.4,53,9,2016
 Washington,73.3,6,1.3,6.4,1.8,11.2,53,10,2016
 West Virginia,91.4,4.9,0.3,0.8,0,1.9,54,2,2016
 Wisconsin,87.1,5.4,0.5,1.8,0,10.1,55,1,2016
 Wisconsin,85.7,4.3,0.4,4.3,0,6.5,55,2,2016
 Wisconsin,50.3,33.6,0.4,4.3,0,16.8,55,4,2016
 Wisconsin,92.8,1.6,0.4,2.4,0,4.5,55,6,2016
 Wisconsin,93.4,0.8,2.2,1.6,0,2.3,55,7,2016
 Wyoming,92,1,2.3,1,0.1,9.6,56,0,2016
 Puerto Rico,66.8,11.6,0.2,0.2,0,98.7,72,98,2016
 California,44.4,2.7,0.4,34.5,1.4,23,6,14,2016
 California,46.9,5.1,0.5,33.6,1.2,23,6,15,2016
 Alabama,76,17.9,0.7,1.5,0.1,5.1,1,5,2016
 Alabama,78.5,14.9,0.2,1.6,0,4.8,1,6,2016
 Alabama,33,63.5,0.2,1,0,2.6,1,7,2016
 Alaska,64.4,3.2,14.6,6.1,1.3,6.9,2,0,2016
 Arizona,81.6,4,1.6,3.1,0.2,28.2,4,2,2016
 Arizona,64.3,4.5,4.2,1.7,0.1,62.5,4,3,2016
 Arizona,84.7,3.5,0.9,4.4,0.3,18.2,4,5,2016
 Arizona,57.4,9.9,2.4,2.7,0.2,64,4,7,2016
 Arizona,84.3,3.9,0.6,3.9,0.2,19.2,4,8,2016
 Indiana,86.6,7,0.6,1.3,0.1,9.4,18,2,2016
 Indiana,87.7,6.3,0.2,2.2,0,6,18,3,2016
 Indiana,88.6,4.5,0.2,2.9,0.1,6.1,18,4,2016
 Indiana,84.8,7.4,0.2,3.2,0,5,18,5,2016
 Indiana,92.9,2.7,0.2,1.4,0.1,2.5,18,6,2016
 Indiana,58.2,30.6,0.4,3.1,0,10.6,18,7,2016
 Indiana,91.6,3.9,0.2,1.1,0.2,2.3,18,8,2016
 Indiana,91.5,2.6,0.2,2.6,0,3.4,18,9,2016
 Iowa,91.4,3.8,0.4,1.7,0.2,3.8,19,1,2016
 Iowa,89.7,4.5,0.2,2.2,0.1,5.4,19,2,2016
 Iowa,88.2,4.3,0.3,3.4,0,6.7,19,3,2016
 Iowa,92.5,1.6,0.4,2.1,0.2,6.9,19,4,2016
 Kansas,89.1,3,0.5,1.7,0.2,15.8,20,1,2016
 Kansas,80.7,8.3,0.4,4.4,0,11.9,20,3,2016
 Kentucky,91.9,3.4,0.2,1.3,0,3.1,21,4,2016
 Kentucky,96.8,1.5,0.3,0.3,0,1.5,21,5,2016
 Kentucky,89,5.8,0.4,1.5,0,3.2,21,2,2016
 Kentucky,71.6,22.1,0.2,2.7,0.1,5.1,21,3,2016
 Louisiana,31,61.9,0.3,2.7,0,6.4,22,2,2016
 Louisiana,60.3,34.9,0.6,1,0,3.8,22,4,2016
 Louisiana,62.3,34.6,0.3,0.7,0,2.4,22,5,2016
 Maine,94.7,1.2,0.8,0.8,0,1.4,23,2,2016
 New York,93,2.5,0.8,1,0,2.8,36,27,2016
 North Carolina,65.6,19.5,7.7,2.5,0,7.6,37,9,2016
 North Carolina,90.5,3.5,1.6,1.1,0.1,5.9,37,11,2016
 Ohio,73,17,0.2,1.5,0.1,11.3,39,9,2016
 Ohio,39.3,52.7,0.2,2.6,0,4.4,39,11,2016
 Ohio,90.8,4.5,0.1,2,0,3,39,14,2016
 Ohio,93.3,2.4,0.1,1.8,0,2.3,39,16,2016
 Ohio,56.4,33.2,0.2,4.1,0.1,6.4,39,3,2016
 Ohio,92,2.6,0.2,1.4,0.1,4.9,39,5,2016
 Oklahoma,66.4,3.4,16.9,0.5,0.3,5.2,40,2,2016
 Oklahoma,76.1,7.1,5.3,2.3,0.1,8.5,40,4,2016
 Oregon,79.2,5.5,0.9,6.9,0.6,11.4,41,3,2016
 Oregon,84.7,1.1,0.9,2.6,0.5,16.4,41,5,2016
 West Virginia,94.3,2.8,0.2,1,0,1.5,54,1,2016
 West Virginia,93.5,3.6,0.1,0.5,0,1,54,3,2016
 Wisconsin,93.5,1.2,0.5,2.1,0,2.6,55,3,2016
 Wisconsin,91.5,2.1,0.3,2.7,0.1,5.7,55,5,2016
 Wisconsin,89.6,1.4,2.4,2.2,0,5.2,55,8,2016
 Arkansas,71,22.3,0.3,1.5,0.1,5.2,5,2,2016
 Arkansas,74.4,20,0.8,0.4,0.1,5.6,5,4,2016
 California,87.1,1.3,1.5,3,0.2,13.4,6,1,2016
 California,79.7,1.3,2.2,3.6,0.1,17.8,6,2,2016
 California,84.4,1.4,1.1,5.2,0.2,13.7,6,4,2016
 California,62.2,6.4,0.8,11.6,0.6,27.8,6,5,2016
 California,63.1,7,0.5,15.8,1.1,17.4,6,7,2016
 California,54.7,9.5,0.6,14.5,0.4,38.2,6,9,2016
 California,71.5,3.4,0.7,7,0.7,43.2,6,10,2016
 California,48.8,5.2,0.4,32.1,0.2,14.9,6,12,2016
 California,58,6.2,1.3,9.4,0.1,60.2,6,16,2016
 California,28.7,2.8,0.3,53.8,0.2,16.5,6,17,2016
 California,61.9,2,0.4,23.1,0.6,17,6,18,2016
 California,42.9,2.8,0.5,27.9,0.5,40.4,6,19,2016
 California,63.4,1.8,0.6,5.4,0.1,53,6,20,2016
 California,69.9,3.9,1.3,2.5,0.4,75.5,6,21,2016
 California,73.7,2.4,1,8.8,0.2,48.1,6,22,2016
 California,70.2,6.5,1.2,5.8,0.2,38.3,6,23,2016
 California,79.6,1.8,1.1,4.9,0,36.2,6,24,2016
 California,64.5,7,0.7,8.2,0.1,39,6,25,2016
 California,80.6,1.7,0.6,6.9,0.2,45.2,6,26,2016
 California,37.7,5.1,0.6,38.8,0.2,28,6,27,2016
 California,66.4,3.2,0.3,13.4,0.1,24.6,6,28,2016
 California,57.6,3.3,0.5,7.7,0.1,68.3,6,29,2016
 California,68.1,6,0.3,12.1,0.2,28.4,6,30,2016
 California,40.4,3.3,0.6,19.2,0.3,61.3,6,32,2016
 California,41.8,4.6,1.2,19.2,0.2,63.9,6,34,2016
 California,46.2,6.3,1.1,7.2,0.3,70.8,6,35,2016
 California,41.9,21.9,0.7,9.9,0.1,39.6,6,37,2016
 California,48.4,2.4,0.5,31.9,0.1,34.3,6,39,2016
 California,49.5,4.2,0.8,2.6,0.2,88,6,40,2016
 California,61.6,5,0.7,9.4,0.6,39.4,6,42,2016
 California,44.7,15.2,0.6,5.6,0.7,70.6,6,44,2016
 California,62.9,1.6,0.2,25.6,0.4,18.1,6,45,2016
 California,52.6,7.7,0.5,21.6,0.6,36.7,6,47,2016
 California,69.6,1.3,0.3,17.7,0.4,21.5,6,48,2016
 California,75.3,3.6,1.8,5.6,0.4,31.4,6,50,2016
 California,69.6,2.9,0.3,20.3,0.2,13.6,6,52,2016
 California,64.8,8.1,0.5,13.9,0.5,33.9,6,53,2016
 Maryland,81.6,12.1,0.2,2,0,3.9,24,1,2016
 Maryland,62.9,22.2,0.2,7.9,0,8.8,24,3,2016
 Maryland,30.5,52.3,0.3,2.9,0,17.3,24,4,2016
 Maryland,69.4,14.2,0.2,10.6,0,13.4,24,6,2016
 Maryland,67,12.5,0.3,9.2,0,15.2,24,8,2016
 Massachusetts,82.7,5.2,0.2,5.5,0.1,10,25,2,2016
 Massachusetts,79.3,3.7,0.2,8.4,0.1,18.8,25,3,2016
 Massachusetts,76.8,5.1,0.1,11.3,0,9.2,25,5,2016
 Massachusetts,49.3,26.5,0.4,10.7,0,21.5,25,7,2016
 Massachusetts,75.6,9.7,0.2,8.2,0,6.1,25,8,2016
 Michigan,92.3,1.4,2.6,0.6,0.1,1.8,26,1,2016
 Michigan,84.7,6.5,0.5,2.3,0,10,26,2,2016
 Michigan,84.2,8,0.3,1.8,0,6.9,26,3,2016
 Michigan,93.9,1.7,0.6,1.1,0,3.1,26,4,2016
 Michigan,77.3,17.4,0.4,0.9,0.1,5,26,5,2016
 Michigan,84.4,8,0.5,1.6,0,6.1,26,6,2016
 Michigan,91,4.4,0.5,1.1,0.1,4.3,26,7,2016
 Michigan,77.3,14.2,0.2,4.7,0,2.7,26,9,2016
 Michigan,93.2,2.5,0.2,1.5,0,3.1,26,10,2016
 Michigan,78.6,10.9,0.3,4.8,0,6.2,26,12,2016
 Michigan,37.7,54.9,0.5,1.3,0,7.4,26,13,2016
 Minnesota,84.5,4.5,0.4,4.5,0,6,27,2,2016
 Arizona,65.4,2.3,23,1.5,0.2,21.8,4,1,2016
 Arizona,87.8,1.6,1.9,1.5,0.2,19.3,4,4,2016
 Arizona,84.7,2.2,1.7,4.9,0.1,16.8,4,6,2016
 Arizona,73.6,6.5,3.5,4.8,0.4,27.2,4,9,2016
 Arkansas,77.7,17.8,0.3,0.6,0,3.2,5,1,2016
 Arkansas,83,3.1,1.1,2.9,0.9,14.2,5,3,2016
 California,66.5,6.3,1,10.6,0.5,29.7,6,3,2016
 California,52.4,12.9,0.8,15.4,1.1,27.8,6,6,2016
 California,75.8,9,1,3.2,0.4,40.4,6,8,2016
 California,61.4,7.6,0.2,13.8,0.5,27.8,6,11,2016
 California,41.8,17.2,0.8,20.9,0.5,21.1,6,13,2016
 California,61.5,10.2,0.7,7.9,0.3,53.6,6,31,2016
 California,72.6,3.2,0.3,14.8,0.1,12.9,6,33,2016
 California,68.7,4.5,1.3,3.5,0.2,49.5,6,36,2016
 California,42.9,4.6,0.4,16.9,0.1,60.1,6,38,2016
 California,46,9.6,0.6,5.3,0.2,59.3,6,41,2016
 California,33.8,22.1,0.8,12.9,0.9,46.9,6,43,2016
 California,59.3,1.7,0.7,12.9,0.4,66.4,6,46,2016
 California,81.5,2.2,0.4,6.3,0.4,26.9,6,49,2016
 California,66.6,6.8,0.8,8.1,0.6,70.4,6,51,2016
 Colorado,89.9,1,0.5,3.2,0.1,10.5,8,2,2016
 Colorado,92,1.4,0.6,2,0.1,22.2,8,4,2016
 Colorado,81.7,5.9,0.5,2.4,0.4,15.8,8,5,2016
 Colorado,87.3,1.8,1.1,3.4,0,29.7,8,7,2016
 Delaware,69.2,22,0.4,3.7,0.2,9.2,10,0,2016
 District of Columbia,40.7,47.1,0.3,3.9,0,10.9,11,98,2016
 Connecticut,72.6,14,0.2,5,0,15.4,9,3,2016
 Connecticut,73.3,12.6,0.3,5.3,0.1,19.8,9,4,2016
 Connecticut,82.1,6.6,0.2,3.7,0,18.2,9,5,2016
 Connecticut,69.2,15.5,0.3,5.1,0,16.8,9,1,2016
 Connecticut,86.4,4.1,0.3,3.5,0,8.3,9,2,2016
 Florida,84.1,10.3,0.3,1.7,0,12.6,12,6,2016
 Florida,76.3,15.5,0.2,3.5,0.1,9.6,12,3,2016
 Florida,45,47.7,0.3,2,0.1,8,12,5,2016
 Florida,81.7,12.7,0.3,2.1,0.1,6.4,12,2,2016
 Florida,77.9,10.7,0.2,4.3,0,25.3,12,7,2016
 Florida,74.6,14.1,0.2,3.4,0,39,12,9,2016
 Florida,86.9,8.4,0.2,1,0,9.8,12,11,2016
 Florida,88.6,4.9,0.3,2.8,0,12.2,12,12,2016
 Florida,68.9,19.6,0.4,4.6,0.1,29,12,14,2016
 Florida,83.7,7.7,0.3,1.9,0,17.7,12,16,2016
 Minnesota,70.3,9.8,0.5,12.2,0,6.7,27,4,2016
 Minnesota,67.4,16.6,1.2,6.1,0,8.8,27,5,2016
 Minnesota,91.6,1.1,3.3,0.9,0,4.5,27,7,2016
 Pennsylvania,87.6,6.1,0.2,1.7,0,9.2,42,17,2016
 Rhode Island,84.7,3.6,0.4,3.1,0.1,13.2,44,2,2016
 South Carolina,38.1,57.2,0.2,1.3,0,5.1,45,6,2016
 South Carolina,75.6,18.2,0.3,1.8,0,6.5,45,1,2016
 South Carolina,74.1,18.9,0.2,2.4,0,8.4,45,4,2016
 South Dakota,84.7,1.7,8.9,1.5,0,3.7,46,0,2016
 Tennessee,94,2,0.4,0.8,0.1,3.8,47,1,2016
 Tennessee,84.9,9.2,0.2,1.6,0,6.2,47,4,2016
 Tennessee,91.8,4.5,0.3,1.1,0,4.3,47,6,2016
 Tennessee,25.8,66.1,0.3,1.7,0,7.4,47,9,2016
 Texas,66.6,12.7,0.3,6.7,0.1,31.3,48,2,2016
 Texas,81.7,10.5,0.6,1.1,0.1,13.3,48,4,2016
 Texas,83,9,0.6,2.7,0,21.6,48,8,2016
 Texas,73.6,10.9,0.6,5.3,0.1,26,48,10,2016
 Texas,85.6,5.1,0.8,2.1,0.1,27,48,13,2016
 Texas,80,1.6,0.3,1.2,0.2,81.9,48,15,2016
 Texas,48.2,36.3,0.1,3.9,0.2,41.8,48,18,2016
 Texas,82.7,5.4,0.6,3,0.1,69.6,48,20,2016
 Texas,80.3,3.9,1.3,1.6,0,68.3,48,23,2016
 Texas,83.6,7.5,0.5,2.6,0.4,19.4,48,25,2016
 Texas,84.3,5.5,0.3,1.6,0.1,52.7,48,27,2016
 Texas,48.8,43.6,0.2,1.7,0,38,48,30,2016
 Texas,68.8,14.4,0.2,8.4,0,26.5,48,32,2016
 Texas,72.9,10.2,0.5,1.9,0,61.2,48,35,2016
 Colorado,88.8,1,2.9,0.8,0.2,24.3,8,3,2016
 Colorado,71.8,9.4,0.7,6.6,0.2,19.2,8,6,2016
 Florida,82,8.8,0.2,4.6,0.1,8.2,12,4,2016
 Florida,76.8,13.8,0.5,2.6,0.1,6.4,12,1,2016
 Florida,83.2,9.3,0.2,2.3,0,10.4,12,8,2016
 Florida,57.1,28.2,0.1,5.3,0,27,12,10,2016
 Florida,79,12.3,0.3,3.6,0.1,9.8,12,13,2016
 Florida,76.1,13.9,0.3,3.2,0.1,23,12,15,2016
 Florida,81.3,12.4,0.3,2.2,0,16.1,12,18,2016
 Florida,39.5,53,0.4,2.8,0.1,24.1,12,20,2016
 Florida,74.2,13.4,0.3,4.5,0.1,37.1,12,23,2016
 Florida,89.6,4.6,0.2,1,0,76.1,12,25,2016
 Georgia,63,29.7,0.3,1.4,0.1,6.6,13,1,2016
 Georgia,68.9,24.7,0.1,1.8,0.1,5.7,13,3,2016
 Georgia,67.7,14.9,1.2,11.2,0.1,12.3,13,6,2016
 Georgia,63.5,30.9,0.3,1.3,0,6.1,13,8,2016
 Idaho,89.6,0.4,1.7,1.2,0.1,10.7,16,1,2016
 Hawaii,32.5,1.5,0.3,26.5,12.1,12.2,15,2,2016
 Illinois,73.5,5.3,0.3,4.2,0,33.1,17,3,2016
 Illinois,82.1,2.5,0.2,6.9,0.1,19.3,17,5,2016
 Illinois,64.9,4.6,0.4,12.8,0,29.4,17,8,2016
 Illinois,71.2,6.8,0.2,11.3,0,22.5,17,10,2016
 Illinois,81.4,11.1,0.2,3.8,0.1,3.4,17,13,2016
 Illinois,92.6,4.5,0.2,0.6,0,2.7,17,15,2016
 Colorado,77.4,8.6,0.7,3.5,0.1,27.6,8,1,2016
 Illinois,90.7,4.1,0.2,2.6,0,2.8,17,18,2016
 Florida,86.8,7.5,0.2,1.1,0.1,15.4,12,17,2016
 Florida,86,8,0.1,1.6,0,19.4,12,19,2016
 Florida,76.8,16.2,0.1,2.4,0,23.4,12,21,2016
 Florida,75.1,15.8,0.3,3.3,0,20.4,12,22,2016
 Florida,42.3,48.7,0.3,1.2,0.1,39.3,12,24,2016
 Florida,81.3,11.2,0.1,1.7,0,69.9,12,26,2016
 Florida,85.5,5.2,0.2,2.3,0.1,71.5,12,27,2016
 Georgia,42.2,51.9,0.3,1.3,0.1,4.9,13,2,2016
 Georgia,30.1,59.3,0.3,4.5,0,10.2,13,4,2016
 Georgia,31.9,57.7,0.5,4.6,0,6.4,13,5,2016
 Georgia,53.8,21.1,0.2,14.3,0,18.6,13,7,2016
 Georgia,87.2,7.2,0.2,1.1,0,12.4,13,9,2016
 Georgia,68.7,24.9,0.1,2.1,0.1,5.9,13,10,2016
 Georgia,72.8,16.5,0.6,3.4,0.1,12.1,13,11,2016
 Georgia,58.2,35.6,0.3,1.8,0.1,6.2,13,12,2016
 Georgia,30.5,59.6,0.1,2.8,0,10.3,13,13,2016
 Georgia,84.4,9.5,0.6,1,0.1,11.6,13,14,2016
 Idaho,89.8,0.9,1.5,1.7,0.1,14,16,2,2016
 Hawaii,17.5,2.1,0.1,49.8,8,8.5,15,1,2016
 Illinois,42.3,50,0.1,1.8,0,10.4,17,1,2016
 Illinois,37.1,57,0.1,0.8,0,14,17,2,2016
 Illinois,55.4,3.8,0.6,3.7,0,70.1,17,4,2016
 Illinois,83,2.6,0.1,9.1,0,9.3,17,6,2016
 Illinois,35.5,47.2,0.2,7.4,0.1,16.6,17,7,2016
 Illinois,71.1,10,0.3,13,0,10.8,17,9,2016
 Illinois,65.5,10.6,0.4,8.6,0,27,17,11,2016
 Illinois,78,17,0.2,1.5,0,3.4,17,12,2016
 Illinois,86.4,3.5,0.2,4.5,0.1,12.6,17,14,2016
 Illinois,90.6,3.4,0.1,1.3,0,9.3,17,16,2016
 Illinois,81.8,11.7,0.3,1.4,0.1,9.4,17,17,2016
 Utah,82.7,1.4,1,2.4,1,14.9,49,2,2016
 Virginia,45.1,45.9,0.2,2.6,0.2,6.3,51,3,2016
 Virginia,74.5,19.8,0.3,2,0,3.4,51,5,2016
 Virginia,62.9,14.1,0.2,11.4,0.1,18.6,51,8,2016
 Virginia,71.9,6.7,0.5,13.8,0.1,14,51,10,2016
 Missouri,92.5,3.4,0.3,1,0.1,2.4,29,3,2016
